group,year,week,value
65to74,2023,3,3339
65to74,2023,4,3790
65to74,2023,5,4026
65to74,2023,6,4427
65to74,2023,7,4709
65to74,2023,8,4874
65to74,2023,9,5141
65to74,2023,10,5693
65to74,2023,11,5977
65to74,2023,12,6096
65to74,2023,13,6074
65to74,2023,14,5992
65to74,2023,15,5946
65to74,2023,16,6034
65to74,2023,17,5978
65to74,2023,18,5794
65to74,2023,19,5547
65to74,2023,20,5108
65to74,2023,21,5036
65to74,2023,22,4750
65to74,2023,23,4750
65to74,2023,24,4760
65to74,2023,25,4721
65to74,2023,26,4374
65to74,2023,27,4256
65to74,2023,28,4044
65to74,2023,29,3835
65to74,2023,30,3870
65to74,2023,31,3408
65to74,2023,32,3378
65to74,2023,33,3113
65to74,2023,34,3197
65to74,2023,35,2895
65to74,2023,36,2860
65to74,2023,37,2765
65to74,2023,38,2312
65to74,2023,39,2065
65to74,2023,40,1851
65to74,2023,41,1734
65to74,2023,42,1559
65to74,2023,43,1408
65to74,2023,44,1373
65to74,2023,45,1320
65to74,2023,46,1312
65to74,2023,47,1308
65to74,2023,48,1372
65to74,2023,49,1069
75to84,2021,0,0
75to84,2021,1,4483
75to84,2021,2,9888
75to84,2021,3,16198
75to84,2021,4,21166
75to84,2021,5,24890
75to84,2021,6,27340
75to84,2021,7,29013
75to84,2021,8,29772
75to84,2021,9,30161
75to84,2021,10,30598
75to84,2021,11,31111
75to84,2021,12,31821
75to84,2021,13,33035
75to84,2021,14,33913
75to84,2021,15,34494
75to84,2021,16,35290
75to84,2021,17,35647
75to84,2021,18,36121
75to84,2021,19,36125
75to84,2021,20,36016
75to84,2021,21,35838
75to84,2021,22,35551
75to84,2021,23,35247
75to84,2021,24,35200
75to84,2021,25,35222
75to84,2021,26,35429
75to84,2021,27,35507
75to84,2021,28,35792
75to84,2021,29,36985
75to84,2021,30,37791
75to84,2021,31,38969
75to84,2021,32,40215
75to84,2021,33,41288
75to84,2021,34,42126
75to84,2021,35,43104
75to84,2021,36,44415
75to84,2021,37,45006
75to84,2021,38,45258
75to84,2021,39,45870
75to84,2021,40,46287
75to84,2021,41,46932
75to84,2021,42,47756
75to84,2021,43,49055
75to84,2021,44,50197
75to84,2021,45,51817
75to84,2021,46,53576
75to84,2021,47,55754
75to84,2021,48,58490
75to84,2021,49,61028
75to84,2021,50,62992
75to84,2021,51,65208
75to84,2021,52,67637
75to84,2022,0,0
75to84,2022,1,1747
75to84,2022,2,3387
75to84,2022,3,5281
75to84,2022,4,7541
75to84,2022,5,9773
75to84,2022,6,11355
75to84,2022,7,12438
75to84,2022,8,13064
75to84,2022,9,13460
75to84,2022,10,13995
75to84,2022,11,14743
75to84,2022,12,15525
75to84,2022,13,16918
75to84,2022,14,18453
75to84,2022,15,19936
75to84,2022,16,20469
75to84,2022,17,21048
75to84,2022,18,21631
75to84,2022,19,22232
75to84,2022,20,22630
75to84,2022,21,22615
75to84,2022,22,23200
75to84,2022,23,23543
75to84,2022,24,24618
75to84,2022,25,25622
75to84,2022,26,26605
75to84,2022,27,28093
75to84,2022,28,30248
75to84,2022,29,33307
75to84,2022,30,35235
75to84,2022,31,36695
